Testes Data Hora CpuPercent QntCpus CpuTimesUser CpuTimesSystem CpuTimesIdle MemTotal MemAvaliable MemUsed DiskUsed DiskTotal DiskPercent BytesSend BytesRecv
91 23/03/28 02:13:47 3.52 4 5610090 1467090 40452830 3892952 1230056 2662896 0 0 NaN 90647313 322683765 
92 23/03/28 02:13:51 0.5 4 5610240 1467250 40466470 3892952 1225020 2667932 0 0 NaN 90647383 322683859 
93 23/03/28 02:13:54 4.55 4 5610430 1467440 40480010 3892952 1218468 2674484 0 0 NaN 90647383 322683911 
94 23/03/28 02:13:58 3.52 4 5610560 1467620 40493620 3892952 1217208 2675744 0 0 NaN 90647453 322684075 
95 23/03/28 02:14:01 1.01 4 5610710 1467790 40507230 3892952 1224236 2668716 0 0 NaN 90647939 322684374 
96 23/03/28 02:14:05 3.02 4 5610870 1467980 40520810 3892952 1221716 2671236 0 0 NaN 90647939 322684426 
97 23/03/28 02:14:08 3 4 5611000 1468120 40534460 3892952 1221972 2670980 0 0 NaN 90648009 322684590 
98 23/03/28 02:14:12 0 4 5611150 1468260 40548140 3892952 1220992 2671960 0 0 NaN 90648009 322684694 
99 23/03/28 02:14:15 4.46 4 5611280 1468480 40561730 3892952 1218220 2674732 0 0 NaN 90648009 322687432 
100 23/03/28 02:14:19 0 4 5611400 1468610 40575430 3892952 1213688 2679264 0 0 NaN 90648266 322687687 
