DATA_ATUAL HORA_ATUAL PID  MEMTOTAL %CPU %MEM TIME MSECOND
2023-03-28 01:35:14 38043 3892952  2.9  2.8 00:00:05 10445000
2023-03-28 01:35:15 38043 3892952  2.9  2.8 00:00:05 10445000
2023-03-28 01:35:16 38043 3892952  2.9  2.8 00:00:05 10445000
2023-03-28 01:35:17 38043 3892952  2.8  2.8 00:00:05 10085000
2023-03-28 01:35:18 38043 3892952  2.8  2.8 00:00:05 10085000
2023-03-28 01:35:19 38043 3892952  2.8  2.8 00:00:05 10085000
2023-03-28 01:35:20 38043 3892952  2.8  2.8 00:00:05 10085000
2023-03-28 01:35:21 38043 3892952  2.8  2.8 00:00:05 10085000
2023-03-28 01:35:22 38043 3892952  2.8  2.8 00:00:05 10085000
2023-03-28 01:35:23 38043 3892952  2.8  2.8 00:00:05 10085000
2023-03-28 01:35:24 38043 3892952  2.8  2.8 00:00:05 10085000
2023-03-28 01:35:25 38043 3892952  2.7  2.8 00:00:05 9725000
2023-03-28 01:35:26 38043 3892952  2.7  2.8 00:00:05 9725000
2023-03-28 01:35:27 38043 3892952  2.7  2.8 00:00:05 9725000
2023-03-28 01:35:28 38043 3892952  2.7  2.8 00:00:05 9725000
2023-03-28 01:35:29 38043 3892952  2.7  2.9 00:00:05 9725000
2023-03-28 01:35:31 38043 3892952  2.7  2.9 00:00:05 9725000
2023-03-28 01:35:32 38043 3892952  2.7  2.9 00:00:05 9725000
2023-03-28 01:35:33 38043 3892952  2.7  2.9 00:00:05 9725000
2023-03-28 01:35:34 38043 3892952  2.7  2.9 00:00:05 9725000
2023-03-28 01:35:35 38043 3892952  2.7  2.9 00:00:05 9725000
2023-03-28 01:35:36 38043 3892952  2.6  2.9 00:00:05 9365000
2023-03-28 01:35:37 38043 3892952  2.6  2.9 00:00:05 9365000
2023-03-28 01:35:38 38043 3892952  2.6  2.9 00:00:05 9365000
2023-03-28 01:35:39 38043 3892952  2.6  2.9 00:00:05 9365000
2023-03-28 01:35:40 38043 3892952  2.6  2.9 00:00:05 9365000
2023-03-28 01:35:41 38043 3892952  2.6  2.9 00:00:05 9365000
2023-03-28 01:35:42 38043 3892952  2.6  2.9 00:00:05 9365000
2023-03-28 01:35:43 38043 3892952  2.6  2.9 00:00:05 9365000
2023-03-28 01:35:44 38043 3892952  2.6  2.9 00:00:05 9365000
2023-03-28 01:35:45 38043 3892952  2.5  2.9 00:00:05 9005000
2023-03-28 01:35:46 38043 3892952  2.6  2.9 00:00:05 9365000
2023-03-28 01:35:47 38043 3892952  2.6  2.9 00:00:05 9365000
2023-03-28 01:35:48 38043 3892952  2.5  2.9 00:00:05 9005000
2023-03-28 01:35:49 38043 3892952  2.5  2.9 00:00:05 9005000
2023-03-28 01:35:50 38043 3892952  2.5  2.9 00:00:05 9005000
2023-03-28 01:35:52 38043 3892952  2.5  2.9 00:00:05 9005000
2023-03-28 01:35:53 38043 3892952  2.5  2.9 00:00:05 9005000
2023-03-28 01:35:54 38043 3892952  2.5  2.9 00:00:06 9006000
2023-03-28 01:35:55 38043 3892952  2.5  2.9 00:00:06 9006000
2023-03-28 01:35:56 38043 3892952  2.5  2.9 00:00:06 9006000
2023-03-28 01:35:57 38043 3892952  2.5  2.9 00:00:06 9006000
2023-03-28 01:35:58 38043 3892952  2.5  2.9 00:00:06 9006000
2023-03-28 01:35:59 38043 3892952  2.5  2.9 00:00:06 9006000
2023-03-28 01:36:00 38043 3892952  2.5  2.9 00:00:06 9006000
2023-03-28 01:36:01 38043 3892952  2.4  2.9 00:00:06 8646000
2023-03-28 01:36:02 38043 3892952  2.4  2.9 00:00:06 8646000
2023-03-28 01:36:03 38043 3892952  2.4  2.9 00:00:06 8646000
2023-03-28 01:36:04 38043 3892952  2.4  2.9 00:00:06 8646000
2023-03-28 01:36:05 38043 3892952  2.4  2.9 00:00:06 8646000
2023-03-28 01:36:06 38043 3892952  2.4  2.9 00:00:06 8646000
2023-03-28 01:36:07 38043 3892952  2.4  2.9 00:00:06 8646000
2023-03-28 01:36:08 38043 3892952  2.4  2.9 00:00:06 8646000
2023-03-28 01:36:09 38043 3892952  2.4  2.9 00:00:06 8646000
2023-03-28 01:36:10 38043 3892952  2.4  2.9 00:00:06 8646000
2023-03-28 01:36:11 38043 3892952  2.4  2.9 00:00:06 8646000
2023-03-28 01:36:12 38043 3892952  2.3  2.9 00:00:06 8286000
2023-03-28 01:36:14 38043 3892952  2.3  2.9 00:00:06 8286000
2023-03-28 01:36:15 38043 3892952  2.3  2.9 00:00:06 8286000
2023-03-28 01:36:16 38043 3892952  2.3  2.9 00:00:06 8286000
2023-03-28 01:36:17 38043 3892952  2.3  2.9 00:00:06 8286000
2023-03-28 01:36:18 38043 3892952  2.3  2.9 00:00:06 8286000
2023-03-28 01:36:19 38043 3892952  2.3  2.9 00:00:06 8286000
2023-03-28 01:36:20 38043 3892952  2.3  2.9 00:00:06 8286000
2023-03-28 01:36:21 38043 3892952  2.3  2.9 00:00:06 8286000
